item,IATA_airport_code,located_in_the_administrative_territorial_entity,located_in_the_administrative_territorial_entityLabel,coordinate_location,official_website,ICAO_airport_code,end_time,country,countryLabel
http://www.wikidata.org/entity/Q576468,JIQ,http://www.wikidata.org/entity/Q713946,Qianjiang District,Point(108.829166666 29.5175),http://www.qjairport.com/,ZUQJ,,http://www.wikidata.org/entity/Q148,People's Republic of China
http://www.wikidata.org/entity/Q576956,PUZ,http://www.wikidata.org/entity/Q498452,North Caribbean Coast Autonomous Region,Point(-83.387703 14.046208),,MNPC,,http://www.wikidata.org/entity/Q811,Nicaragua
http://www.wikidata.org/entity/Q284253,EAL,,,Point(167.333333333 9.083333333),,,,http://www.wikidata.org/entity/Q709,Marshall Islands
http://www.wikidata.org/entity/Q285032,,http://www.wikidata.org/entity/Q1948,Manitoba,Point(-101.014 49.2617),,,,http://www.wikidata.org/entity/Q16,Canada
http://www.wikidata.org/entity/Q286727,,http://www.wikidata.org/entity/Q1223,Washington,Point(-122.404 45.6278),,,,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q286872,MIK,http://www.wikidata.org/entity/Q190583,Mikkeli,Point(27.2 61.686388888),https://www.mikkeli.fi/sisalto/palvelut/elinkeinot/lentoasema,EFMI,,http://www.wikidata.org/entity/Q33,Finland
http://www.wikidata.org/entity/Q287077,CZU,http://www.wikidata.org/entity/Q235188,Sucre Department,Point(-75.28555556 9.33277778),http://www.aeropuertocorozal.co/,SKCZ,,http://www.wikidata.org/entity/Q739,Colombia
http://www.wikidata.org/entity/Q287371,,http://www.wikidata.org/entity/Q114984,San Antonio de los Baños,Point(-82.509444444 22.871666666),,MUSA,,http://www.wikidata.org/entity/Q241,Cuba
http://www.wikidata.org/entity/Q288537,YDL,http://www.wikidata.org/entity/Q1973,British Columbia,Point(-130.031 58.4222),,CYDL,,http://www.wikidata.org/entity/Q16,Canada
http://www.wikidata.org/entity/Q289972,GVA,http://www.wikidata.org/entity/Q68230,Meyrin,Point(6.109444444 46.238333333),https://www.gva.ch,LSGG,,http://www.wikidata.org/entity/Q39,Switzerland
http://www.wikidata.org/entity/Q290527,IXE,http://www.wikidata.org/entity/Q1185,Karnataka,Point(74.889722222 12.961944444),https://www.aai.aero/en/airports/mangalore,VOML,,http://www.wikidata.org/entity/Q668,India
http://www.wikidata.org/entity/Q1161027,CFN,http://www.wikidata.org/entity/Q60557022,Templecrone,Point(-8.341 55.044192),http://www.donegalairport.ie/,EIDL,,http://www.wikidata.org/entity/Q27,Ireland
http://www.wikidata.org/entity/Q1162558,KTW,http://www.wikidata.org/entity/Q998353,Pyrzowice,Point(19.08 50.474166666),http://www.katowice-airport.com/,EPKT,,http://www.wikidata.org/entity/Q36,Poland
http://www.wikidata.org/entity/Q1655531,CCI,http://www.wikidata.org/entity/Q41115,Santa Catarina,Point(-52.05111 -27.18056),,SSCK,,http://www.wikidata.org/entity/Q155,Brazil
http://www.wikidata.org/entity/Q1655540,,http://www.wikidata.org/entity/Q829,Utah,Point(-112.676 38.2306),http://www.beaverutah.net/airport/,,,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q1655543,,http://www.wikidata.org/entity/Q824,Oregon,Point(-117.819722222 45.333611111),,,,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q573547,CCJ,http://www.wikidata.org/entity/Q1030918,Malappuram district,Point(75.955 11.136111111),https://www.aai.aero/airports/calicut,VOCL,,http://www.wikidata.org/entity/Q668,India
http://www.wikidata.org/entity/Q17559,LDH,http://www.wikidata.org/entity/Q104784,Lord Howe Island,Point(159.077222222 -31.538333333),,YLHI,,http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q17560,MIM,http://www.wikidata.org/entity/Q752512,Bega Valley Shire,Point(149.901388888 -36.908611111),http://www.merimbulaairport.com.au,YMER,,http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q17560,MIM,http://www.wikidata.org/entity/Q3306491,Merimbula,Point(149.901388888 -36.908611111),http://www.merimbulaairport.com.au,YMER,,http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q17560,MIM,http://www.wikidata.org/entity/Q63528888,Pambula,Point(149.901388888 -36.908611111),http://www.merimbulaairport.com.au,YMER,,http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q17561,MRZ,http://www.wikidata.org/entity/Q187859,Moree,Point(149.844722222 -29.498888888),http://www.mpsc.nsw.gov.au/index.php?option=com_content&view=article&id=65&Itemid=73,YMOR,,http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q17561,MRZ,http://www.wikidata.org/entity/Q820167,Moree Plains Shire,Point(149.844722222 -29.498888888),http://www.mpsc.nsw.gov.au/index.php?option=com_content&view=article&id=65&Itemid=73,YMOR,,http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q17562,MYA,http://www.wikidata.org/entity/Q753512,Eurobodalla Shire,Point(150.144444444 -35.897777777),,YMRY,,http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q17562,MYA,http://www.wikidata.org/entity/Q1488729,Moruya,Point(150.144444444 -35.897777777),,YMRY,,http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q17564,DGE,http://www.wikidata.org/entity/Q59819,Mudgee,Point(149.611111111 -32.5625),http://www.midwestern.nsw.gov.au/Community_facilities/Airport.html,YMDG,,http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q17564,DGE,http://www.wikidata.org/entity/Q820340,Mid-Western Regional Council,Point(149.611111111 -32.5625),http://www.midwestern.nsw.gov.au/Community_facilities/Airport.html,YMDG,,http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q17566,NAA,http://www.wikidata.org/entity/Q181766,Narrabri,Point(149.827222222 -30.319166666),http://www.narrabri.nsw.gov.au/index.cfm?page_id=1249,YNBR,,http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q17567,SCF,http://www.wikidata.org/entity/Q816,Arizona,Point(-111.910555555 33.622777777),http://www.scottsdaleaz.gov/airport.asp,KSDL,,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q17568,NRA,http://www.wikidata.org/entity/Q3224,New South Wales,Point(146.5177778 -34.698333333),http://www.narrandera.nsw.gov.au/cp_themes/default/page.asp?p=DOC-JKF-72-42-47,YNAR,,http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q17568,NRA,http://www.wikidata.org/entity/Q820304,Narrandera Shire,Point(146.5177778 -34.698333333),http://www.narrandera.nsw.gov.au/cp_themes/default/page.asp?p=DOC-JKF-72-42-47,YNAR,,http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q17569,QRM,http://www.wikidata.org/entity/Q3224,New South Wales,Point(148.224722222 -32.214444444),,YNRM,,http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q17569,QRM,http://www.wikidata.org/entity/Q610975,Narromine Shire,Point(148.224722222 -32.214444444),,YNRM,,http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q17569,QRM,http://www.wikidata.org/entity/Q18166711,"Timbrebongie - New South Wales",Point(148.224722222 -32.214444444),,YNRM,,http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q17570,NTL,http://www.wikidata.org/entity/Q3224,New South Wales,Point(151.834 -32.795),http://www.newcastleairport.com.au,YWLM,,http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q17571,NYN,http://www.wikidata.org/entity/Q3224,New South Wales,Point(147.203333333 -31.551666666),,YNYN,,http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q17571,NYN,http://www.wikidata.org/entity/Q142160,Bogan Shire,Point(147.203333333 -31.551666666),,YNYN,,http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q17571,NYN,http://www.wikidata.org/entity/Q63518264,Bergo,Point(147.203333333 -31.551666666),,YNYN,,http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q17573,OAG,http://www.wikidata.org/entity/Q3224,New South Wales,Point(149.1344444 -33.381666666),https://www.orange.nsw.gov.au/orange-regional-airport,YORG,,http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q17573,OAG,http://www.wikidata.org/entity/Q1024925,Cabonne Council,Point(149.1344444 -33.381666666),https://www.orange.nsw.gov.au/orange-regional-airport,YORG,,http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q17573,OAG,http://www.wikidata.org/entity/Q63521530,Huntley,Point(149.1344444 -33.381666666),https://www.orange.nsw.gov.au/orange-regional-airport,YORG,,http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q17574,PKE,http://www.wikidata.org/entity/Q3224,New South Wales,Point(148.2344444 -33.131666666),https://www.parkes.nsw.gov.au/living-here/your-community/airport/,YPKS,,http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q17574,PKE,http://www.wikidata.org/entity/Q1517703,Parkes Shire,Point(148.2344444 -33.131666666),https://www.parkes.nsw.gov.au/living-here/your-community/airport/,YPKS,,http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q17576,PQQ,http://www.wikidata.org/entity/Q3224,New South Wales,Point(152.863333333 -31.435833333),https://www.portmacquarieairport.com.au/,YPMQ,,http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q17576,PQQ,http://www.wikidata.org/entity/Q596030,Port Macquarie-Hastings Council,Point(152.863333333 -31.435833333),https://www.portmacquarieairport.com.au/,YPMQ,,http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q17578,UIR,http://www.wikidata.org/entity/Q3224,New South Wales,Point(150.5177778 -31.498333333),,YQDI,,http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q17578,UIR,http://www.wikidata.org/entity/Q820671,Liverpool Plains Shire,Point(150.5177778 -31.498333333),,YQDI,,http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q17581,SYD,http://www.wikidata.org/entity/Q3224,New South Wales,Point(151.1761111 -33.948333333),http://www.sydneyairport.com.au,YSSY,,http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q17584,TMW,http://www.wikidata.org/entity/Q3224,New South Wales,Point(150.8511111 -31.081666666),http://www.tamworth.nsw.gov.au/Council/Council-Enterprises-and-Venues/Tamworth-Regional-Airport/Tamworth-Regional-Airport/default.aspx,YSTW,,http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q17584,TMW,http://www.wikidata.org/entity/Q820721,Tamworth Regional Council,Point(150.8511111 -31.081666666),http://www.tamworth.nsw.gov.au/Council/Council-Enterprises-and-Venues/Tamworth-Regional-Airport/Tamworth-Regional-Airport/default.aspx,YSTW,,http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q17587,TRO,http://www.wikidata.org/entity/Q3224,New South Wales,Point(152.513888888 -31.888611111),,YTRE,,http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q17587,TRO,http://www.wikidata.org/entity/Q753116,City of Greater Taree,Point(152.513888888 -31.888611111),,YTRE,,http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q17589,TEM,http://www.wikidata.org/entity/Q3224,New South Wales,Point(147.511666666 -34.421666666),,YTEM,,http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q17589,TEM,http://www.wikidata.org/entity/Q820638,Temora Shire,Point(147.511666666 -34.421666666),,YTEM,,http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q17591,TYB,http://www.wikidata.org/entity/Q3224,New South Wales,Point(142.058333333 -29.451666666),,YTIB,,http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q17593,TUM,http://www.wikidata.org/entity/Q3224,New South Wales,Point(148.240833333 -35.262777777),,YTMU,,http://www.wikidata.org/entity/Q408,Australia
